trade_date,side,price,quantity,cash,position,equity,note
2026-01-07,BUY,0.972,51400,50039.200000000004,51400,100000.0,3 rising days and MA5>MA10>MA20>MA60
2026-01-13,SELL,0.955,25700,74582.70000000001,25700,99126.20000000001,"sell_count=1, sell_half, max_profit=0.62%, current_profit=-1.75%"
2026-01-14,SELL,0.969,12800,86985.90000000001,12900,99486.00000000001,"sell_count=2, sell_half, max_profit=0.62%, current_profit=-0.31%"
2026-01-15,SELL,0.975,12900,99563.40000000001,0,99563.40000000001,"sell_count=3, clear_position, max_profit=0.62%, current_profit=0.31%"
2026-01-16,BUY,0.983,50600,49823.60000000001,50600,99563.40000000001,3 rising days and MA5>MA10>MA20>MA60
2026-01-23,SELL,0.978,25300,74567.00000000001,25300,99310.40000000001,"sell_count=1, sell_half, max_profit=0.31%, current_profit=-0.51%"
2026-01-26,SELL,0.971,12600,86801.60000000002,12700,99133.30000000002,"sell_count=2, sell_half, max_profit=0.31%, current_profit=-1.22%"
2026-01-27,SELL,0.979,12700,99234.90000000002,0,99234.90000000002,"sell_count=3, clear_position, max_profit=0.31%, current_profit=-0.41%"
2026-04-20,BUY,1.069,46400,49633.300000000025,46400,99234.90000000002,3 rising days and MA5>MA10>MA20>MA60
2026-04-23,SELL,1.081,23200,74712.50000000003,23200,99791.70000000003,"sell_count=1, sell_half, max_profit=2.25%, current_profit=1.12%"
2026-04-24,SELL,1.072,11600,87147.70000000003,11600,99582.90000000002,"sell_count=2, sell_half, max_profit=2.25%, current_profit=0.28%"
2026-04-27,SELL,1.081,11600,99687.30000000003,0,99687.30000000003,"sell_count=3, clear_position, max_profit=2.25%, current_profit=1.12%"
2026-05-06,BUY,1.147,43400,49907.50000000003,43400,99687.30000000003,3 rising days and MA5>MA10>MA20>MA60
2026-05-07,BUY,1.168,21300,25029.10000000003,64700,100598.70000000003,3 rising days and MA5>MA10>MA20>MA60
2026-05-13,BUY,1.259,9900,12565.000000000033,74600,106486.40000000002,3 rising days and MA5>MA10>MA20>MA60
2026-05-21,SELL,1.223,37300,58182.90000000004,37300,103800.80000000005,"sell_count=1, sell_half, max_profit=7.46%, current_profit=4.72%"
2026-05-26,BUY,1.324,21900,29187.300000000036,59200,107568.10000000003,3 rising days and MA5>MA10>MA20>MA60
2026-05-29,SELL,1.309,29600,67933.70000000004,29600,106680.10000000003,"sell_count=1, sell_half, max_profit=10.31%, current_profit=6.80%"
2026-06-01,SELL,1.258,14800,86552.10000000003,14800,105170.50000000003,"sell_count=2, sell_half, max_profit=10.31%, current_profit=2.64%"
2026-06-02,SELL,1.303,14800,105836.50000000003,0,105836.50000000003,"sell_count=3, clear_position, max_profit=10.31%, current_profit=6.31%"
