trade_date,side,price,quantity,gross_amount,fee,slippage_cost,realized_pnl,cash,position,equity,note
2026-01-07,BUY,0.9721943999999999,25700,24985.39608,7.495618823999999,4.996079999998148,0.0,25007.108301176002,25700,49987.508301176,"buy_count=1, cash_ratio=50%, close=0.9720, previous 2 days rising plus today rising and MA5>MA10>MA20"
2026-01-12,BUY,0.9781955999999999,17800,17411.88168,5.223564503999999,3.481679999999332,0.0,7590.003056672005,43500,50133.00305667201,"buy_count=2, cash_ratio=70%, close=0.9780, close above buy #1 price and MA5>MA10>MA20>MA60"
2026-01-16,BUY,0.9831966,7700,7570.61382,5.0,1.5138199999999324,0.0,14.389236672005609,51200,50343.989236672,"buy_count=3, cash_ratio=100%, close=0.9830, close above buy #2 price and MA5>MA10>MA20>MA60"
2026-01-20,SELL,0.9558088,25600,24468.705280000002,7.340611584,4.894719999998642,-531.4407132479956,24475.753905088008,25600,48949.353905088006,"sell_count=1, sell_half, close=0.9560, max_profit=0.18%, current_profit=-2.08%"
2026-01-23,SELL,0.9778044,12800,12515.89632,5.0,2.5036799999995196,14.493629168002258,36986.65022508801,12800,49505.05022508801,"sell_count=2, sell_half, close=0.9780, max_profit=1.00%, current_profit=0.18%"
2026-01-26,SELL,0.9708057999999999,12800,12426.31424,5.0,2.4857600000004254,-75.08845083199873,49407.96446508801,0,49407.96446508801,"sell_count=3, clear_position, close=0.9710, max_profit=0.18%, current_profit=-0.54%"
2026-04-14,BUY,1.0232046,24100,24659.230859999996,7.3977692579999985,4.930859999999981,0.0,24741.33583583001,24100,49395.635835830006,"buy_count=1, cash_ratio=50%, close=1.0230, previous 2 days rising plus today rising and MA5>MA10>MA20"
2026-04-17,BUY,1.0612122,16300,17297.758859999998,5.189327657999999,3.4588599999999303,0.0,7438.387648172011,40400,50302.787648172,"buy_count=2, cash_ratio=70%, close=1.0610, close above buy #1 price and MA5>MA10>MA20>MA60"
2026-04-20,BUY,1.0692138,6900,7377.57522,5.0,1.475220000000288,0.0,55.812428172011096,47300,50619.512428172005,"buy_count=3, cash_ratio=100%, close=1.0690, close above buy #2 price and MA5>MA10>MA20>MA60"
2026-04-23,SELL,1.0807838,23600,25506.49768,7.6519493039999995,5.102319999997373,874.9390061459449,25554.658158868013,23700,51174.35815886801,"sell_count=1, sell_half, close=1.0810, max_profit=4.76%, current_profit=3.61%"
2026-04-24,SELL,1.0717856000000001,11800,12647.070080000001,5.0,2.529919999999386,330.11671772497294,38196.72823886802,11900,50953.52823886802,"sell_count=2, sell_half, close=1.0720, max_profit=3.61%, current_profit=2.74%"
2026-04-28,SELL,1.0617876000000002,11900,12635.272440000002,5.0,2.5275599999986964,213.98048990908345,50827.00067886802,0,50827.00067886802,"sell_count=3, clear_position, close=1.0620, max_profit=3.61%, current_profit=1.78%"
2026-05-06,BUY,1.1472294,22100,25353.76974,7.606130921999999,5.069740000001022,0.0,25465.62480794602,22100,50814.32480794602,"buy_count=1, cash_ratio=50%, close=1.1470, previous 2 days rising plus today rising and MA5>MA10>MA20"
2026-05-07,BUY,1.1682336,15200,17757.15072,5.327145216,3.550720000000851,0.0,7703.146942730018,37300,51269.54694273001,"buy_count=2, cash_ratio=70%, close=1.1680, close above buy #1 price and MA5>MA10>MA20>MA60"
2026-05-11,BUY,1.2032406,6300,7580.41578,5.0,1.5157799999995225,0.0,117.73116273001779,43600,52568.53116273002,"buy_count=3, cash_ratio=100%, close=1.2030, close above buy #2 price and MA5>MA10>MA20>MA60"
2026-05-14,SELL,1.2337532,21800,26895.81976,8.068745927999998,5.380239999999814,1533.1162560029973,27005.482176802016,21800,53906.682176802016,"sell_count=1, sell_half, close=1.2340, max_profit=8.25%, current_profit=6.10%"
2026-05-21,SELL,1.2227554,10900,13328.033860000001,5.0,2.6661400000004276,645.7164809654992,40328.516036802015,10900,53659.21603680201,"sell_count=2, sell_half, close=1.2230, max_profit=7.91%, current_profit=5.15%"
2026-05-29,SELL,1.3087382,10900,14265.24638,5.0,2.853619999998558,1582.9290009654994,54588.76241680201,0,54588.76241680201,"sell_count=3, clear_position, close=1.3090, max_profit=16.25%, current_profit=12.55%"
